patch,date
2.0,27 August 2013
2.1,17 December 2013
2.15,20 January 2014
2.16,19 February 2014
2.2,27 March 2014
2.21,9 April 2014
2.25,23 April 2014
2.28,5 June 2014
2.3,8 July 2014
2.35,18 August 2014
2.38,15 September 2014
2.4,28 October 2014
2.41,17 November 2014
2.45,8 December 2014
2.5,20 January 2015
2.51,23 February 2015
2.55,30 March 2015
2.56,19 April 2015
2.57,11 May 2015
3.0,23 June 2015
3.01,7 July 2015
3.05,21 July 2015
3.07,25 August 2015
3.1,10 November 2015
3.15,15 December 2015
3.2,23 February 2016
3.21,9 March 2016
3.22,16 March 2016
3.25,28 March 2016
3.26,13 April 2016
3.3,7 June 2016
3.35,18 July 2016
3.38,22 August 2016
3.4,27 September 2016
3.41,17 October 2016
3.45,31 October 2016
3.5,17 January 2017
3.51,25 January 2017
3.55a,27 February 2017
3.55b,8 March 2017
3.56,27 March 2017
3.57,17 April 2017
4.0,20 June 2017
4.01,3 July 2017
4.05,17 July 2017
4.06,7 August 2017
4.06a,28 August 2017
4.1,10 October 2017
4.11,23 October 2017
4.15,20 November 2017
4.18,11 December 2017
4.2,30 January 2018
4.21,13 February 2018
4.25,12 March 2018
4.3,22 May 2018
4.31,5 June 2018
4.35,3 July 2018
4.36,6 August 2018
4.4,18 September 2018
4.41,1 October 2018
4.45,5 November 2018
4.5,8 January 2019
4.55,11 February 2019
4.56,25 March 2019
4.57,22 April 2019
4.58,14 May 2019
5.0,2 July 2019
5.01,15 July 2019
5.05,29 July 2019
5.1,29 October 2019
5.11,11 November 2019
5.15,9 December 2019
5.18,23 December 2019
5.2,18 February 2020
5.21,9 March 2020
5.25,6 April 2020
5.3,11 August 2020
5.31,7 September 2020
5.35,12 October 2020
5.4,8 December 2020
5.41,11 January 2021
5.45,1 February 2021
5.5,13 April 2021
5.55,24 May 2021
5.57,21 June 2021
5.58,19 July 2021
6.0,7 December 2021
6.01,20 December 2021
6.05,3 January 2022
6.08,24 January 2022
6.1,12 April 2022
6.11,25 April 2022
6.11a,23 May 2022
6.15,6 June 2022
6.18,4 July 2022
6.2,23 August 2022
6.21,12 September 2022
6.25,17 October 2022
6.28,31 October 2022
6.3,10 January 2023
6.31,23 January 2023
6.35,6 March 2023
6.38,3 April 2023
6.4,23 May 2023
6.41,19 June 2023
6.45,17 July 2023
6.48,7 August 2023
6.5,3 October 2023
6.51,30 October 2023
6.55,16 January 2024
6.57,12 February 2024
6.58,19 March 2024
7.0,2 July 2024
7.01,16 July 2024
7.05,30 July 2024
7.1,12 November 2024
7.11,26 November 2024
7.15,17 December 2024
7.16,21 January 2025
7.18,25 February 2025
7.2,25 March 2025
7.21,22 April 2025
7.25,27 May 2025
7.3,5 August 2025
7.31,2 September 2025
7.35,7 October 2025
